id,Body Mass (g)
0,4169.064258703278
1,5195.079867292606
2,3639.1035496609184
3,3677.9413611961745
4,3594.6108367183115
5,4167.820276455887
6,4693.759285656916
7,5176.694981341594
8,4678.203579400828
9,4073.3531948029254
10,4120.3118147766745
11,4666.479295817029
12,4699.324262253685
13,4697.02210479214
14,5167.241511994478
15,5168.195784442285
16,4168.847220781698
17,4107.86411142436
18,3627.0776114778437
19,3628.9092482580745
20,4113.783714190227
21,5182.42621721414
22,5186.326293062775
23,4160.263309272487
24,3683.6948517520113
25,4696.081255816316
26,3603.7472921283925
27,4253.89182424471
28,4116.452246992119
29,4708.124392502601
30,3632.5952114054853
31,4699.638724975004
32,3677.8929353555386
33,4713.391410314655
34,4129.750000057345
35,3632.1586218298726
36,4700.5470019570375
37,3647.0754254143676
38,4102.6207827434155
39,4694.178579890224
40,4115.946316953724
41,3627.780263634336
42,4093.6123534374997
43,5174.232796690143
44,3649.2217633992236
45,4699.78218767748
46,3634.7551456091305
47,4118.475867825056
48,4701.4596903161655
49,5183.079214980053
50,3635.9399757915758
51,4110.517429726924
52,3622.563016491164
53,4172.305452174557
54,4092.8387299209476
55,4110.699505313799
56,4699.16893251504
57,4108.929032428333
58,4700.851346990455
59,3693.080350902791
60,4164.309027702702
61,3624.43497190643
62,4160.936229231989
63,5179.257097162741
64,3633.5316041879046
65,4088.6844967392904
66,4116.611559831591
67,4656.554891936312
68,4109.206017948567
69,4128.58937264776
70,4693.570910056616
71,3624.971520045202
72,3606.64780663909
73,3682.710427234089
74,5180.740075440237
75,4328.785942008346
76,3626.4934395625073
77,4156.159377270065
78,5164.8252312960285
79,4698.522774086361
80,4116.043350010317
81,3778.7374876829094
82,4125.112605686561
83,4703.546434244424
84,5168.071894362054
85,4112.5831332359585
86,5170.001461107562
87,4117.694866488648
88,3629.865081484779
89,5159.2995612480245
90,4684.9696671669135
91,3635.4518087483175
92,3633.2619025179456
93,3649.653315637561
94,3597.4203372702027
95,3652.1717716440153
96,3638.537230469554
97,3617.798366249117
98,4706.203758718926
99,4111.10618150327
100,3677.602577156409
101,3641.8530725543087
102,3624.698846478156
103,5174.580863210067
104,5209.311181923995
105,3668.0639678638004
106,5324.853141246644
107,5179.1178810568
108,4170.330360278319
109,3624.3017287104617
110,4688.041244649778
111,3626.708384148519
112,4107.175467461618
113,4105.0410841559315
114,5178.206454944693
115,4154.954722591195
116,3638.6351270587165
117,3683.336929766352
118,4122.1768399972625
119,4108.1913032357625
120,4125.380299708772
121,5172.629330157395
122,3633.9693816778617
123,4134.065953680367
124,4161.540501906269
125,4071.660552401063
126,5172.690204140707
127,4117.232354489413
128,3634.6036249212684
129,3670.390538849072
130,4073.3596908771033
131,4102.608523961686
132,5176.203965336894
133,5169.405665651844
134,5165.058812657848
135,4094.296949216907
136,3640.930485109827
137,3638.591220960478
138,4692.235160808328
139,3689.4410063159594
140,4098.528203968119
141,4659.433917705971
142,3616.427761564417
143,3618.523750136044
144,4123.246097385097
145,3681.4287249540225
146,4700.470080469893
147,3641.9563128046034
148,5174.550798272712
149,4119.426259117392
150,5185.04884285071
151,3626.7013970179037
152,4694.168583010844
153,5179.806906741003
154,4089.528209749939
155,5183.507875669038
156,3629.6485571665526
157,4165.152975937083
158,3636.607336493925
159,3796.80122582517
160,4098.4338683358465
161,3680.3090794033888
162,3672.991415416014
163,3629.35434267161
164,5167.46882389643
165,3628.1769938893967
166,5150.71954905791
167,4706.244436880454
168,4107.029361834355
169,4095.4658980713084
170,5179.246775235912
171,3680.162266845546
172,5181.734976741029
173,3603.9302622602822
174,3637.939812426281
175,4270.537335219284
176,4166.095105807295
177,4691.873136321503
178,5176.50778451718
179,3618.094517145862
180,4089.685270606578
181,4177.441805543475
182,4157.295619431816
183,4124.1454304265435
184,4692.612603253542
185,4121.955095955776
186,4711.275718326056
187,5174.12868486013
188,3625.26834744307
189,3610.565501344172
190,4120.612144255672
191,3693.3161726529333
192,3646.584524902825
193,4119.628378422108
194,4708.73337178343
195,5174.423541263299
196,4124.755732023084
197,5186.461061664353
198,3621.6695024334276
199,3627.749015515845
200,4098.624923730513
201,4697.220322556864
202,4254.599116715904
203,4704.818573213737
204,4111.044946652628
205,3784.463430268618
206,3631.073826833161
207,4165.879650801038
208,4699.878453664447
209,4698.254655591625
210,3664.825042495289
211,3635.5070416797184
212,3600.9461270540014
213,3634.841640817874
214,3688.7340915713476
215,4261.56833970189
216,5180.131370034962
217,3685.057823094284
218,4167.7135065567845
219,4102.437073672302
220,3620.3460969119647
221,3631.850668757396
222,4697.64000340289
223,4156.177255121945
224,4698.959704078814
225,4703.2219525687615
226,4159.52547357868
227,4099.222394060791
